state,county,city,address1,address2,date
Massachusetts,Essex,Gloucester,"18 Taylor St",,02/03/2004
Massachusetts,Webster,Springhill,"278 Smithville Rd",,05/10/2005
Massachusetts,Middlesex,Chelmsford,"56 Groton Rd",,06/11/2005
Massachusetts,Middlesex,Lowell,"800 Broadway 7",,08/04/2005
Massachusetts,Essex,Lynn,"8 Nash Terrace",,08/07/2006
Massachusetts,Middlesex,Framingham,"70 Howe Street",,08/08/2007
Massachusetts,Essex,Amesbury,"22  Linwood Place",,10/08/2014
Massachusetts,Essex,Haverhill,"127  Wnter Street  Box Apt. #23",,12/17/2014
Massachusetts,Worcester,Southbridge,"148  Hamilton Street Box Unit#2",,02/04/2015
