state,county,city,address1,address2,date
Kansas,Bourbon,"Fort Scott","604 Judson S",,06/10/2004
Kansas,Pottawatomie,Belvue,"114 Jeanette Street",,06/10/2004
Kansas,Reno,Hutchinson,"1420 Lorraine N",,06/12/2004
Kansas,Bourbon,"Fort Scott","716 Wilson S",,06/15/2004
Kansas,Cowley,"Arkansas City","23761 61st Rd",,06/18/2004
Kansas,Cherokee,Galena,"5069 112th Se Dr",,06/23/2004
Kansas,Ford,"Dodge City","911 Virginia Dr",,06/23/2004
Kansas,Bourbon,"Fort Scott","1491 212 Ter",,06/24/2004
Kansas,Hodgeman,Jetmore,"503 Adkins St",,06/27/2004
Kansas,Barton,Ellinwood,"1416 50 Se Rd",,07/12/2004
Kansas,Bourbon,"Fort Scott","203 Scott S",,07/16/2004
Kansas,Montgomery,Independence,"317 10th N St",,07/16/2004
Kansas,Bourbon,"Fort Scott","1415 Main S",,07/17/2004
Kansas,Ford,"Dodge City","1601 Ave A",,07/21/2004
Kansas,Clay,"Clay Center","710 7th St",,07/27/2004
Kansas,Clay,"Clay Center","916 4th",,07/27/2004
Kansas,Neosho,Thayer,"222 Greenwood",,07/28/2004
Kansas,Crawford,Franklin,"107 10th W St",,07/29/2004
Kansas,Sedgwick,Wichita,"1049 South Waco Street",,07/31/2004
Kansas,Crawford,Frontenac,"109 Wright S",,08/14/2004
Kansas,Ford,"Dodge City","104 Juneau",,08/14/2004
Kansas,Johnson,Gardner,"130 Madison E 7",,08/14/2004
Kansas,Reno,Hutchinson,"703 A E Ave",,08/16/2004
Kansas,Riley,Leonardville,"309 Barton Road",,08/23/2004
Kansas,Saline,Gypsum,"417 2nd E St",,08/25/2004
Kansas,Scott,"Scott City","1004 5th W",,08/25/2004
Kansas,Saline,Gypsum,"321 5th W St",,08/25/2004
Kansas,Labette,Oswego,"819 5th",,08/27/2004
Kansas,Douglas,Lawrence,"2531 Red Bud Ln",,08/30/2004
Kansas,Lyon,Emporia,"1302 Goura Pl",,08/31/2004
Kansas,Atchison,Lancaster,"6148 Johnson Rd",,09/07/2004
Kansas,Montgomery,Coffeyville,"1316 Stark",,09/08/2004
Kansas,Harvey,Sedgwick,"400 Waterman W 420",,09/12/2004
Kansas,Finney,"Garden City","3003 Jones W Ave 9",,09/16/2004
Kansas,Cowley,"Arkansas City","512 Oak W St",,09/17/2004
Kansas,Shawnee,"Silver Lake","9944 46th Nw St",,09/23/2004
Kansas,Reno,Sylvia,"36616 4th W St",,09/23/2004
Kansas,Johnson,Lenexa,"8120 Swarner",,09/24/2004
Kansas,Shawnee,Topeka,"4648 California Se",,09/25/2004
Kansas,Barton,"Great Bend","5803 Aspen Drive",,09/26/2004
Kansas,Finney,"Garden City","2601 C St",,10/09/2004
