state,county,city,address1,address2,date
Indiana,Knox,"Monroe City","12297 Beech Hills E Rd",,03/19/2004
Indiana,Noble,Avilla,"6121 County Road 100 North E",,03/19/2004
Indiana,Knox,Vincennes,"1993 Ballard Dr",,03/20/2004
Indiana,Floyd,Greenville,"3592 Bradford E Rd",,03/20/2004
Indiana,Marshall,Argos,"106 Walnut St",,03/21/2004
Indiana,Vigo,"Terre Haute","6599 Mcdaniel Rd",,03/24/2004
Indiana,Kosciusko,Syracuse,"519 Harbour Landing",,03/24/2004
Indiana,Lake,Merrillville,"8250 Louisiana St",,03/24/2004
Indiana,Daviess,Odon,"408 Maple St",,03/26/2004
Indiana,Fountain,Veedersburg,"200 Liberty St",,03/26/2004
Indiana,Ripley,Sunman,"224 Western Ave Lot 5",,03/28/2004
Indiana,Vermillion,Clinton,"450 3rd S St",,03/28/2004
Indiana,Vermillion,Clinton,"343 1/2 5th S St",,03/28/2004
Indiana,Howard,Kokomo,"270 Dixon N St",,03/29/2004
Indiana,Franklin,Brookville,"9090 Sr1",,03/29/2004
Indiana,Vigo,"Terre Haute","4635 Hendricks N St",,03/29/2004
Indiana,Knox,Vincennes,"1405 Miller Ave",,03/29/2004
Indiana,Orange,Hardinsburg,"6501 Cr 750 E S",,03/30/2004
Indiana,Monroe,Bloomington,"1218 Madison N St",,03/31/2004
Indiana,Starke,Hamlet,"504 Starke N St",,04/02/2004
Indiana,Marion,Indianapolis,"3705 Valley Lake Dr",,04/02/2004
Indiana,Laporte,"Michigan City","10303 Us 12 Ne",,04/03/2004
Indiana,Cass,Logansport,"932 Stanley Street",,04/04/2004
Indiana,Sullivan,Sullivan,"24 State S St",,04/04/2004
Indiana,Cass,Peru,"10582 River E Rd",,04/04/2004
Indiana,Dekalb,Auburn,"607 Peterson",,04/05/2004
Indiana,Bartholomew,Columbus,"111 Red St",,04/05/2004
Indiana,Orange,Paoli,"1997 Doe Valley N",,04/05/2004
Indiana,Sullivan,Sullivan,"20 Frenchs N St",,04/05/2004
Indiana,Madison,Pendleton,"231 1/2 State E",,04/06/2004
Indiana,Jennings,"North Vernon","3677 Wellington Ct",,04/07/2004
Indiana,Washington,Pekin,"1170 Eastern School N Rd 4",,04/07/2004
Indiana,Bartholomew,Hope,"20780 Cr 850 N E",,04/07/2004
Indiana,Vigo,"Terre Haute","1714 10th N St",,04/08/2004
Indiana,Benton,Otterbein,"2198 Cr 1100 E S",,04/11/2004
Indiana,"St. Joseph","South Bend","60855 Us 31 29",,04/11/2004
Indiana,Jefferson,Madison,"3567 Woodside Dr Lt 13",,04/15/2004
Indiana,Knox,Ragsdale,"11785 5th St",,04/16/2004
Indiana,Sullivan,Sullivan,"4247 C.r.350 E",,04/19/2004
Indiana,Whitley,"Columbia City","3250 Hill W Dr",,04/19/2004
Indiana,Washington,Salem,"3654 Ault Saw Mill Rd",,04/21/2004
Indiana,Morgan,Martinsville,"340 Washington E St",,04/21/2004
Indiana,Vigo,"Terre Haute","1246 Bozbour Ave",,04/22/2004
Indiana,Jennings,Elizabethtown,"11880 Sr 7 E",,04/22/2004
Indiana,White,Brookston,"2858 County Road 850 South E",,04/25/2004
Indiana,Jennings,Vernon,"5 1/2 Pike N",,04/25/2004
Indiana,Montgomery,Crawfordsville,"311 1/2 Grant St",,04/25/2004
Indiana,Decatur,Greensburg,"532 Washington E St",,04/26/2004
Indiana,Howard,Kokomo,"268 Us31 S",,04/26/2004
Indiana,Pike,Petersburg,"3127 Sr 57 S",,04/26/2004
Indiana,Jackson,Brownstown,"1110 Oak W St",,04/27/2004
Indiana,Floyd,"New Albany","100 Fischer Dr",,04/27/2004
Indiana,Vigo,"Terre Haute","1000 Sutliff E Dr",,04/28/2004
Indiana,Knox,Vincennes,"2009 Ramona Dr",,04/29/2004
Indiana,Dubois,Huntingburg,"102 Fourth E St",,05/01/2004
Indiana,Vigo,"Terre Haute","1618 1/2 Garfield",,05/03/2004
