state,county,city,address1,address2,date
Nebraska,Lincoln,"North Platte","617 North Washington",,06/18/2008
Nebraska,Lincoln,"North Platte","2300 East Philip Lot 49a",,08/12/2008
Nebraska,Howard,Palmer,"1025 Cody Road",,10/03/2008
Nebraska,Hamilton,Marquette,"106  Lynn Street",,01/16/2010
Nebraska,Douglas,Omaha,"2504 South 49th Street",,02/24/2010
Nebraska,Dodge,Scribner,"1489  F Road",,03/04/2010
Nebraska,Douglas,Omaha,"6200  Arbor Street",,03/31/2010
Nebraska,Kimball,Kimball,"3908 South 28 Street",,04/10/2010
Nebraska,Douglas,Omaha,"2300 South 23rd Street",,04/12/2010
Nebraska,Douglas,Omaha,"3421 South 58th Street",,04/16/2010
Nebraska,Douglas,Omaha,"219 South 38th Avenue In",,07/01/2010
Nebraska,Lancaster,Lincoln,"1020 North 35th Street 8",,10/02/2013
Nebraska,Lancaster,Lincoln,"727 W E St",,11/11/2016
